Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,14,8,2,49276.746094,0.000041
2,1000,0.6,0.2,50.0,1000,14,5,0,49058.132812,0.000000
3,1000,0.6,0.2,50.0,1000,32,14,2,50644.632812,0.000039
4,1000,0.6,0.2,50.0,1000,23,9,2,48289.410156,0.000041
5,1000,0.6,0.2,50.0,1000,4,2,0,49992.210938,0.000000
6,1000,0.6,0.2,50.0,1000,31,16,7,49568.554688,0.000141
7,1000,0.6,0.2,50.0,1000,35,16,3,49898.953125,0.000060
8,1000,0.6,0.2,50.0,1000,6,5,2,49923.515625,0.000040
9,1000,0.6,0.2,50.0,1000,9,3,2,48726.945312,0.000041
10,1000,0.6,0.2,50.0,1000,10,3,0,49348.121094,0.000000
