Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,14,13,6,49165.761719,0.000122
2,1000,0.2,0.2,50.0,1000,7,5,0,49122.800781,0.000000
3,1000,0.2,0.2,50.0,1000,74,59,28,51509.480469,0.000544
4,1000,0.2,0.2,50.0,1000,36,32,15,48910.855469,0.000307
5,1000,0.2,0.2,50.0,1000,39,32,16,50114.574219,0.000319
6,1000,0.2,0.2,50.0,1000,34,27,13,49376.996094,0.000263
7,1000,0.2,0.2,50.0,1000,18,15,6,49951.988281,0.000120
8,1000,0.2,0.2,50.0,1000,4,4,2,49921.781250,0.000040
9,1000,0.2,0.2,50.0,1000,8,6,3,48501.832031,0.000062
10,1000,0.2,0.2,50.0,1000,14,12,3,49475.296875,0.000061
