Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,69744,8960,63,49894.218750,0.001263
2,1000,0.8,0.2,50.0,1000,68082,8734,67,48815.488281,0.001373
3,1000,0.8,0.2,50.0,1000,70543,9080,65,50770.988281,0.001280
4,1000,0.8,0.2,50.0,1000,70577,9104,67,50821.593750,0.001318
5,1000,0.8,0.2,50.0,1000,69907,8960,78,50576.859375,0.001542
6,1000,0.8,0.2,50.0,1000,69818,9026,67,50317.144531,0.001332
7,1000,0.8,0.2,50.0,1000,70159,9018,77,50588.996094,0.001522
8,1000,0.8,0.2,50.0,1000,70245,9060,70,50731.472656,0.001380
9,1000,0.8,0.2,50.0,1000,69202,8819,65,49734.085938,0.001307
10,1000,0.8,0.2,50.0,1000,72902,9367,68,52437.128906,0.001297
