Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,249207,9053,163,50147.156250,0.003250
2,1000,0.5,0.2,50.0,1000,244302,8706,127,48127.308594,0.002639
3,1000,0.5,0.2,50.0,1000,254021,9083,157,50473.585938,0.003111
4,1000,0.5,0.2,50.0,1000,245623,8831,170,49419.136719,0.003440
5,1000,0.5,0.2,50.0,1000,250210,8978,156,49952.925781,0.003123
6,1000,0.5,0.2,50.0,1000,254562,9102,152,50753.769531,0.002995
7,1000,0.5,0.2,50.0,1000,245098,8871,171,49276.894531,0.003470
8,1000,0.5,0.2,50.0,1000,245388,8726,167,48747.464844,0.003426
9,1000,0.5,0.2,50.0,1000,249775,8894,150,49511.046875,0.003030
10,1000,0.5,0.2,50.0,1000,248138,8775,152,49073.230469,0.003097
