Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,8351,3342,998,51669.523438,0.019315
2,1000,0.6,0.2,50.0,1000,8424,3325,999,50169.648438,0.019912
3,1000,0.6,0.2,50.0,1000,8238,3291,995,49339.433594,0.020166
4,1000,0.6,0.2,50.0,1000,7920,3200,999,51340.296875,0.019458
5,1000,0.6,0.2,50.0,1000,8271,3300,997,49750.339844,0.020040
6,1000,0.6,0.2,50.0,1000,7973,3193,998,51506.324219,0.019376
7,1000,0.6,0.2,50.0,1000,8312,3301,997,49816.949219,0.020013
8,1000,0.6,0.2,50.0,1000,8211,3281,998,49228.070312,0.020273
9,1000,0.6,0.2,50.0,1000,8473,3329,998,49395.621094,0.020204
10,1000,0.6,0.2,50.0,1000,8416,3424,997,50073.160156,0.019911
