Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2063,1663,999,50329.636719,0.019849
2,1000,0.2,0.2,50.0,1000,2088,1654,999,50007.261719,0.019977
3,1000,0.2,0.2,50.0,1000,2182,1717,998,49927.574219,0.019989
4,1000,0.2,0.2,50.0,1000,2096,1653,999,48565.199219,0.020570
5,1000,0.2,0.2,50.0,1000,2058,1640,999,50034.125000,0.019966
6,1000,0.2,0.2,50.0,1000,2015,1621,999,50328.714844,0.019850
7,1000,0.2,0.2,50.0,1000,2128,1664,997,49826.921875,0.020009
8,1000,0.2,0.2,50.0,1000,2032,1620,999,49706.859375,0.020098
9,1000,0.2,0.2,50.0,1000,2127,1697,999,49648.769531,0.020121
10,1000,0.2,0.2,50.0,1000,2035,1654,999,48680.527344,0.020522
